4, 0.26666666666666666, 36.75, 36.75, 2016-11-29, 2016-12-14
28, 1.8666666666666667, 34.714285714285715, 26.285714285714285, 2017-03-29, 2017-04-13
17, 1.1333333333333333, 42.294117647058826, 20.764705882352942, 2017-04-28, 2017-05-13
23, 1.5333333333333334, 15.826086956521738, 8.173913043478262, 2017-07-12, 2017-07-27
31, 2.066666666666667, 55.54838709677419, 14.741935483870968, 2017-05-13, 2017-05-28
27, 1.8, 50.407407407407405, 31.296296296296298, 2017-02-27, 2017-03-14
29, 1.9333333333333333, 31.620689655172413, 25.482758620689655, 2017-03-14, 2017-03-29
31, 2.066666666666667, 34.61290322580645, 20.258064516129032, 2017-01-28, 2017-02-12
30, 2, 24.733333333333334, 10.633333333333333, 2017-06-27, 2017-07-12
26, 1.7333333333333334, 61.26923076923077, 55.65384615384615, 2016-11-14, 2016-11-29
33, 2.2, 84.75757575757575, 81.60606060606061, 2016-10-15, 2016-10-30
38, 2.533333333333333, 49.078947368421055, 42.21052631578947, 2017-02-12, 2017-02-27
51, 3.4, 84.03921568627452, 45.80392156862745, 2017-05-28, 2017-06-12
49, 3.2666666666666666, 27.26530612244898, 23.06122448979592, 2017-08-11, 2017-08-26
64, 4.266666666666667, 80.3125, 73.234375, 2017-04-13, 2017-04-28
53, 3.533333333333333, 109.81132075471699, 104.30188679245283, 2016-09-15, 2016-09-30
48, 3.2, 136.10416666666666, 122.41666666666667, 2016-08-31, 2016-09-15
55, 3.6666666666666665, 66, 46.18181818181818, 2016-12-29, 2017-01-13
97, 6.466666666666667, 18.938144329896907, 14.11340206185567, 2017-07-27, 2017-08-11
72, 4.8, 78.77777777777777, 64.58333333333333, 2017-01-13, 2017-01-28
62, 4.133333333333334, 161.91935483870967, 156.66129032258064, 2016-08-16, 2016-08-31
39, 2.6, 67.61538461538461, 64.56410256410257, 2016-10-30, 2016-11-14
50, 3.3333333333333335, 103.58, 101.54, 2016-09-30, 2016-10-15
148, 9.866666666666667, 50.12162162162162, 33.28378378378378, 2017-06-12, 2017-06-27
211, 14.066666666666666, 133.01421800947867, 125.5260663507109, 2016-12-14, 2016-12-29
